family,spectrum,status,budget_axis,window_GeV,window_from,r,n_s
Higgs pairs & extended scalars,H -> aa (exotic Higgs decays),current,m(bb),15-60,census,0.1,13.9
Higgs pairs & extended scalars,H -> aa (exotic Higgs decays),current,m(tautau),15-60,census,0.12,11.6
Higgs pairs & extended scalars,HH -> bbbb,current,m(HH),1000-5000,census,0.08,20.1
Higgs pairs & extended scalars,X -> S H (scalar + Higgs),current,m(HH),300-6000,census,0.08,37.4
Higgs pairs & extended scalars,A -> ZH,ageing,m(Vh),200-5000,axis window,0.06,53.6
Higgs pairs & extended scalars,HH -> bb gamgam,ageing,m(HH),250-6000,axis window,0.08,39.7
Higgs pairs & extended scalars,HH -> bbWW / WWWW / gamgamWW,stale,m(HH),250-6000,axis window,0.08,39.7
Higgs pairs & extended scalars,HH -> bb tautau,ageing,m(HH),251-1600,census,0.08,23.2
Higgs pairs & extended scalars,X -> H Y (anomaly detection / XH),ageing,m(HH),1500-6000,census,0.08,17.3
Higgs pairs & extended scalars,Charged Higgs -> WZ / WH,current,m(VV),250-3000,census,0.06,41.4
Higgs pairs & extended scalars,Charged Higgs -> WZ / WH,current,m(Vh),250-3000,census,0.06,41.4
Higgs pairs & extended scalars,bbA -> bbbb (b-associated),current,m(bb),12-100,census,0.1,21.2
Higgs pairs & extended scalars,HH + vector boson,ageing,m(HH),260-1000,census,0.08,16.8
Higgs pairs & extended scalars,Triple Higgs (6b),current,-,,unpriced,0.06,0.0
Higgs pairs & extended scalars,"t -> qX, X -> bb",ageing,m(bb),20-160,census,0.1,20.8
Higgs pairs & extended scalars,HH + top quarks (ttHH),current,m(HH),250-6000,axis window,0.08,39.7
"Leptoquarks, excited & heavy fermions",Leptoquark pair -> lepton + jet,ageing,m(ej),200-5000,axis window,0.03,107.3
"Leptoquarks, excited & heavy fermions",Leptoquark pair -> lepton + jet,ageing,m(muj),200-5000,axis window,0.04,80.5
"Leptoquarks, excited & heavy fermions",Leptoquark pair -> lepton + jet,ageing,m(tauj),200-5000,axis window,0.1,32.2
"Leptoquarks, excited & heavy fermions",Third-generation LQ -> b tau / t tau,current,m(taub),1500-3000,census,0.12,5.8
"Leptoquarks, excited & heavy fermions","Excited leptons (e*, mu*, tau*)",ageing,m(egamma),200-5000,axis window,0.015,214.6
"Leptoquarks, excited & heavy fermions","Excited leptons (e*, mu*, tau*)",ageing,m(mugamma),200-5000,axis window,0.03,107.3
"Leptoquarks, excited & heavy fermions","Excited leptons (e*, mu*, tau*)",ageing,m(ej),200-5000,axis window,0.03,107.3
"Leptoquarks, excited & heavy fermions","Excited leptons (e*, mu*, tau*)",ageing,m(muj),200-5000,axis window,0.04,80.5
"Leptoquarks, excited & heavy fermions",Heavy neutrino / right-handed W (lljj),ageing,m(eejj),400-7000,axis window,0.05,57.2
"Leptoquarks, excited & heavy fermions",Heavy neutrino / right-handed W (lljj),ageing,m(mumujj),400-7000,axis window,0.07,40.9
"Leptoquarks, excited & heavy fermions",Quantum black holes -> lepton + jet,current,m(ej),200-5000,axis window,0.03,107.3
"Leptoquarks, excited & heavy fermions",Quantum black holes -> lepton + jet,current,m(muj),200-5000,axis window,0.04,80.5
"Leptoquarks, excited & heavy fermions",Resonant single leptoquark,current,m(ej),200-5000,axis window,0.03,107.3
"Leptoquarks, excited & heavy fermions",Resonant single leptoquark,current,m(muj),200-5000,axis window,0.04,80.5
"Leptoquarks, excited & heavy fermions",Heavy lepton -> Z + lepton,stale,m(eZ),114-176,census,0.03,14.5
"Leptoquarks, excited & heavy fermions",Heavy lepton -> Z + lepton,stale,m(muZ),114-176,census,0.04,10.9
Generic & other,Quarkonium + photon (exclusive H/Z decays),current,-,fixed,fixed,0.06,1.0
Generic & other,Doubly charged Higgs (same-sign ll / WW),ageing,m(ee) SS,200-1300,axis window,0.015,124.8
Generic & other,Doubly charged Higgs (same-sign ll / WW),ageing,m(emu) SS,200-1300,axis window,0.025,74.9
Generic & other,Doubly charged Higgs (same-sign ll / WW),ageing,m(mumu) SS,200-1300,axis window,0.04,46.8
Generic & other,Heavy neutral lepton (displaced/prompt mass),current,-,8-65,census,0.06,34.9
Generic & other,Anomaly detection (multilepton),current,-,,unpriced,0.06,0.0
Generic & other,Generic multi-body invariant masses,ageing,-,,unpriced,0.06,0.0
Generic & other,"Two-body masses, unsupervised anomaly detection",ageing,-,,unpriced,0.06,0.0
Generic & other,Dark photon in rare Z decays,ageing,m(ee) (Zd),1-400,axis window,0.025,239.7
Generic & other,Dark photon in rare Z decays,ageing,m(mumu) (Zd),0.3-400,axis window,0.02,359.8
Generic & other,Displaced diphoton / dielectron,ageing,-,,unpriced,0.06,0.0
Generic & other,B_s invariant mass structure (X(5568)),stale,-,,unpriced,0.06,0.0
Generic & other,Xb -> Upsilon pi pi,stale,-,,unpriced,0.06,0.0
